,page,name,description,old_price,original_price,stars
204,12,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
205,12,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
206,12,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
207,12,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
208,12,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
209,12,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
210,12,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
211,12,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
212,12,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
213,12,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
214,12,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
215,12,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
216,13,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
217,13,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
218,13,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
219,13,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
220,13,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
221,13,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
222,13,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
223,13,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
224,13,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
225,13,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
226,13,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
227,13,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
228,13,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
229,13,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
230,13,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
231,13,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
232,13,"Apartment in Islamabad, Pakistan",Flamingo Grand Apartments,77.0,85.0,5.0
233,13,"Private room in Mawlynnong, India",Roberts homestay Mawlynnong,18.0,18.0,4.7
234,14,"Private room in Sosan, India",Lost&Found Galactic Friends' House,13.0,13.0,4.82
235,14,"Apartment in Panaji, India",Lavish Sea View Apartment!!,129.0,129.0,4.82
236,14,"Earthen home in Auroville, India","Lotus Studio in Skandavan's garden, Edayanchavadi",39.0,39.0,4.81
237,14,"Home in Jaipur, India","(Entire floor) The Haveli, A Home Stay C scheme",84.0,120.0,4.61
238,14,"Villa in Galle, Sri Lanka",Rose Villa paradise on the ocean.,201.0,201.0,4.84
239,14,"Hotel room in Jodhpur, India",SADAR HAVELI HERITAGE,22.0,22.0,4.63
240,14,"Bungalow in Kochi, India",Verdant Heritage Bungalow  (Entire Upper Floor),50.0,50.0,4.93
241,14,"Private room in Pathau, India",Glamping on Neer Waterfalls .,44.0,44.0,No Review
242,14,"Dome in Kamshet, India",Ethereal Dome w/ Private Plunge Pool & 3 Meals,59.0,59.0,4.89
243,14,"Farm stay in Bengaluru Urban, India",Luxury farmhouse in Bangalore,190.0,190.0,4.77
244,14,"Private room in Karnataka, India",Vanandhaara Coorg I Homestay | Pool Villa 1,89.0,89.0,4.92
245,14,"Private room in Gurugram, India",Reebah Inn & Suites - 3,16.0,16.0,4.62
246,14,"Apartment in Kolkata, India","Modern n Smart Studios, Apt-501 Near Airport n CC2",33.0,33.0,4.84
247,14,"Private room in Gangtok, India",Rustic walnut cottage - waterfall & mountain view,66.0,66.0,4.97
248,14,"Home in Banepa, Nepal",Entire house with all amenities and hill views,73.0,73.0,5.0
249,14,"Cottage in Habarana, Sri Lanka",Far Cry Kumbukkalli Forest Retreat,105.0,105.0,4.8
